Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1789523007154230,0000010A,false,Rx,0,5,00,00,64,00,00,00,00,00,
-1789523007153504,0000010C,false,Rx,0,3,00,00,00,00,00,00,00,00,
-1789523007132811,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523007131659,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523007063351,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523007062370,00000104,false,Rx,0,8,04,7F,00,7F,00,2C,10,00,
-1789523007061388,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007057420,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523007056524,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007032034,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9C,03,
-1789523007031266,00000280,false,Rx,0,5,06,22,07,C0,19,00,00,00,
-1789523007010744,0000030A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523007010189,00000312,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523007009251,0000030A,false,Rx,0,8,20,02,45,7D,4A,7D,41,7D,
-1789523007008269,00000310,false,Rx,0,8,20,01,3C,7D,3C,7D,32,7D,
-1789523007007331,00000318,false,Rx,0,8,20,01,41,7D,45,7D,41,7D,
-1789523007006349,00000318,false,Rx,0,8,20,00,3C,7D,41,7D,3C,7D,
-1789523007005411,00000312,false,Rx,0,8,20,02,32,7D,32,7D,41,7D,
-1789523007004472,00000310,false,Rx,0,8,20,00,3C,7D,3C,7D,37,7D,
-1789523007003491,00000308,false,Rx,0,8,20,01,1F,7D,3C,7D,4A,7D,
-1789523007002552,00000308,false,Rx,0,8,20,00,45,7D,45,7D,3C,7D,
-1789523007001613,0000031A,false,Rx,0,8,20,02,41,7D,4A,7D,37,7D,
-1789523007001016,0000031A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523007000419,0000034A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006999821,00000342,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006999224,0000033A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006998627,00000332,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006998072,0000032A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006997475,00000322,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006996877,00000352,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006996280,0000035A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006995469,00000380,false,Rx,0,6,09,35,00,00,1B,04,00,00,
-1789523006963299,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523006962361,00000104,false,Rx,0,8,04,7F,00,7F,00,2D,0F,00,
-1789523006961337,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006957411,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523006956515,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006931214,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9C,03,
-1789523006930062,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523006863375,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523006862437,00000104,false,Rx,0,8,04,7F,00,7F,00,2E,10,00,
-1789523006861413,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006857402,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523006856506,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006830437,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523006829285,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523006787814,00000380,false,Rx,0,7,02,00,12,00,00,00,F8,00,
-1789523006763366,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523006762428,00000104,false,Rx,0,8,04,7F,00,7F,00,2F,0F,00,
-1789523006761446,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006757393,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523006756497,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006729660,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523006728508,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523006663528,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523006662547,00000104,false,Rx,0,8,04,7F,00,7F,00,20,0F,00,
-1789523006661565,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006657384,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523006656531,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006628798,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9D,00,
-1789523006627646,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523006563391,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523006562409,00000104,false,Rx,0,8,04,7F,00,7F,00,21,10,00,
-1789523006561386,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006557418,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523006556522,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006555839,00000006,false,Rx,0,4,25,00,00,00,00,00,00,00,
-1789523006528021,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523006526911,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
