Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
373434520,00000342,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373435522,00000342,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373435523,00000342,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373436533,00000342,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373437544,00000342,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373438552,00000342,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373438553,00000342,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373439569,000000C2,false,Rx,0,8,78,80,C8,80,9E,85,04,20,
373440558,0000030A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373440559,0000030A,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373441569,0000030A,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373441571,0000030A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373442559,0000030A,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373443596,0000030A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373444594,0000030A,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373445601,0000008A,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
373455308,00000200,false,Rx,0,1,04,00,00,00,00,00,00,00,
373456494,00000280,false,Rx,0,8,04,00,B0,00,00,00,00,00,
373463404,000000D4,false,Rx,0,8,B8,18,25,19,A9,63,02,23,
373475208,0000032A,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373476220,0000032A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373477233,0000032A,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373478219,0000032A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373478221,0000032A,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373479225,000000AA,false,Rx,0,8,78,80,C7,80,9C,85,04,50,
373480249,0000032A,false,Rx,0,3,1E,02,01,00,00,00,00,00,
373480251,0000033A,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373481258,0000033A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373482283,0000034A,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373483303,0000033A,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373483305,0000033A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373484311,0000033A,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373485288,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
373485289,0000033A,false,Rx,0,3,1E,02,01,00,00,00,00,00,
373486285,0000034A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373487292,0000034A,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
