Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12307120,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12308120,00000104,false,Rx,0,8,00,7F,00,19,00,21,0E,04,
12309066,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12311152,000000CA,false,Rx,0,8,78,80,C8,80,9F,85,04,10,
12312259,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
12313242,000000A2,false,Rx,0,8,78,80,C8,80,9D,85,04,30,
12314230,000000C2,false,Rx,0,8,78,80,C8,80,9E,85,04,40,
12315235,000000DA,false,Rx,0,8,78,80,A0,80,9A,85,04,00,
12316252,00000092,false,Rx,0,8,00,80,C8,80,24,85,04,10,
12317251,000000D2,false,Rx,0,8,78,80,C8,80,9C,85,04,10,
12326364,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12327703,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
12344045,000000CC,false,Rx,0,8,B3,18,EC,18,51,63,02,20,
12345071,0000009C,false,Rx,0,8,A0,18,DB,18,E4,62,02,21,
12346043,000000A4,false,Rx,0,8,9D,18,DE,18,E8,62,02,21,
12347081,000000C4,false,Rx,0,8,78,18,EE,18,C6,62,02,23,
12348082,000000DC,false,Rx,0,8,BC,18,18,19,55,63,02,21,
12349101,00000094,false,Rx,0,8,9A,18,EB,18,F7,62,02,23,
12350053,000000D4,false,Rx,0,8,91,18,EB,18,07,63,02,23,
12376715,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
12377729,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
12390510,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
12405435,000000B2,false,Rx,0,8,9F,80,A0,80,9E,85,04,07,
12406918,0000008A,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
12407946,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12408961,00000104,false,Rx,0,8,00,7F,00,19,00,22,0D,04,
12409975,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12423340,000000BC,false,Rx,0,8,A1,18,EC,18,12,63,02,21,
12427811,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12429063,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
12438306,000000B4,false,Rx,0,8,8C,18,E9,18,AB,62,02,20,
12439779,0000008C,false,Rx,0,8,CC,18,1F,19,AE,63,02,20,
12446102,00000180,false,Rx,0,1,01,00,00,00,00,00,00,00,
12476736,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
12477870,00000288,false,Rx,0,8,04,00,50,1B,64,C7,06,00,
12478907,00000288,false,Rx,0,7,04,01,28,0E,BE,A7,17,00,
12479887,00000288,false,Rx,0,8,04,02,A2,C7,7C,F8,14,00,
12480911,00000288,false,Rx,0,7,04,03,A5,2C,0A,CE,46,00,
12481917,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
12503150,000000AA,false,Rx,0,8,78,80,C7,80,9C,85,04,40,
